locale,locale_name,storefront,primary,name,subtitle,keywords,description,category,in_app_purchases
hu,Hungarian,hu,,Charady: Parti kitalálós,Találd ki barátokkal,"charades,heads up,kitalálós,parti,szavak,barátok,család,offline","Játsszátok el. Találjátok ki a szót. Nevessetek együtt.\n\nA Charady a végső homlok-charades parti játék barátoknak és családnak. Egy játékos a homlokára teszi a telefont, a többiek tippeket adnak, te pedig döntöd a helyeset vagy a továbblépést. Egyszerű szabályok. Rengeteg pakli. Azonnali parti hangulat.\n\nHOGYAN JÁTSZATOK\n1. Válasszatok hangulathoz illő paklit\n2. Tegyetek a telefont a homlokra, hogy a barátok lássák a szót\n3. A barátok eljátsszák vagy leírják — a szó kimondása nélkül\n4. Döntsétek lefelé ha helyes, felfelé a kihagyáshoz\n5. Győzzétek le az órát és adjátok tovább a telefont\n\nMIÉRT CHARADY\n• Klasszikus charades csoportoknak\n• Tucatnyi témájú pakli\n• Készítsetek saját paklit\n• Offline játék\n• Gyors körök partira és utazásra\n• Családbarát szócsomagok\n\nTökéletes játékesthez és több nevetéshez. Egy telefon. Az egész csapat. Tiszta charades káosz.\n\nSupport: teamo.touch@gmail.com\n\nAdatvédelem:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nFelhasználási feltételek:\nhttps://teamo-couple.web.app/charady-terms.html",Szójáték,Charady Weekly - 1 990 Ft | Charady Yearly - 9 990 Ft | Charady Lifetime - 12 990 Ft
id,Indonesian,id,,Charady: Tebak kata pesta,Tebak kata bareng teman,"charades,heads up,tebak kata,pesta,teman,keluarga,offline,party","Peragakan. Tebak katanya. Tertawa bersama.\n\nCharady adalah game charades dahi terbaik untuk teman dan keluarga. Satu pemain menempelkan ponsel di dahi, yang lain memberi petunjuk, kamu miringkan untuk benar atau lewati. Aturan sederhana. Banyak dek. Energi pesta langsung.\n\nCARA BERMAIN\n1. Pilih dek yang cocok suasana\n2. Tempel ponsel di dahi agar teman melihat kata\n3. Teman berakting atau mendeskripsikan — tanpa mengucapkan kata\n4. Miringkan ke bawah jika benar, ke atas untuk lewati\n5. Kalahkan timer dan oper ponsel\n\nMENGAPA CHARADY\n• Charades klasik untuk grup\n• Puluhan dek bertema\n• Buat dek kustom\n• Main offline\n• Ronde cepat untuk pesta dan perjalanan\n• Paket kata ramah keluarga\n\nSempurna untuk malam game dan lebih banyak tawa. Satu ponsel. Seluruh grup. Kekacauan charades murni.\n\nSupport: teamo.touch@gmail.com\n\nKebijakan Privasi:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nKetentuan Penggunaan:\nhttps://teamo-couple.web.app/charady-terms.html",Kata,Charady Weekly - Rp 79ribu | Charady Yearly - Rp 349ribu | Charady Lifetime - Rp 449ribu
it,Italian,it,,Charady: Festa di mimica,Mimica con gli amici,"charades,heads up,mimica,festa,parole,amici,famiglia,indovina,fronte,giochi,offline","Recita. Indovina la parola. Ridete insieme.\n\nCharady è il gioco definitivo di mimica sulla fronte per amici e famiglia. Un giocatore tiene il telefono sulla fronte, gli altri danno indizi e tu inclini per giusto o passa. Regole semplici. Tantissimi mazzi. Energia da festa subito.\n\nCOME SI GIOCA\n1. Scegli un mazzo adatto al mood\n2. Tieni il telefono sulla fronte così gli amici vedono la parola\n3. Gli amici mimano o descrivono — senza dire la parola\n4. Inclina in basso se corretto, in alto per passare\n5. Batti il timer e passa il telefono\n\nPERCHÉ CHARADY\n• Mimica classica per gruppi\n• Decine di mazzi a tema — film, animali, cibo e altro\n• Crea mazzi personalizzati\n• Gioca offline\n• Round veloci per feste e viaggi\n• Pacchetti adatti alle famiglie\n\nPerfetto per serate di giochi e più risate. Un telefono. Tutto il gruppo. Caos di charades.\n\nSupporto: teamo.touch@gmail.com\n\nInformativa sulla privacy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTermini di utilizzo:\nhttps://teamo-couple.web.app/charady-terms.html",Giochi di parole,"Charady Weekly - 5,99 € | Charady Yearly - 24,99 € | Charady Lifetime - 29,99 €"
ja,Japanese,jp,,Charady: ジェスチャー大会,友達とジェスチャー,"charades,heads up,ジェスチャー,パーティー,単語,友達,家族,オフライン,頭",演技して。言葉を当てて。みんなで笑おう。\n\nCharadyは友達や家族向けの究極の額チャレードパーティーゲームです。一人がスマホを額に当て、他の人がヒントを出し、正解やパスは傾けるだけ。シンプルなルール。豊富なデッキ。すぐに盛り上がるパーティー。\n\n遊び方\n1. 気分に合うデッキを選ぶ\n2. スマホを額に当てて、友達が言葉を見られるようにする\n3. 友達は演技や説明をする — 言葉は言わない\n4. 正解なら下に、パスなら上に傾ける\n5. 制限時間に勝ち、次の人へ渡す\n\nCHARADYの魅力\n• グループ向けクラシックな額チャレード\n• 映画、動物、食べ物など多数のテーマデッキ\n• カスタムデッキを作成\n• オフラインプレイ\n• パーティーや旅行向けの短いラウンド\n• ファミリー向けワードパック\n\nゲームナイトやもっと笑いたいときにぴったり。スマホ1台。みんなで。純粋なチャレードのカオス。\n\nサポート: teamo.touch@gmail.com\n\nプライバシーポリシー:\nhttps://teamo-couple.web.app/charady-privacy.html\n\n利用規約:\nhttps://teamo-couple.web.app/charady-terms.html,単語,"Charady Weekly - ¥800 | Charady Yearly - ¥3,500 | Charady Lifetime - ¥4,500"
kn-IN,Kannada,in,,Charady: Word Party Fun,Act it out with friends,"charades,heads up,headbands,guess,word,party,friends,family,act it out,forehead,offline,group,fun","Act it out. Guess the word. Laugh together.\n\nCharady is the ultimate forehead charades party game for friends and family. One player holds the phone up, everyone else gives clues, and you tilt to keep the round flying. Simple rules. Endless decks. Instant party energy.\n\nHOW TO PLAY\n1. Pick a deck that matches your vibe\n2. Hold the phone to your forehead so friends can see the word\n3. Friends act, describe, or mime — no saying the word\n4. Tilt down for correct, tilt up to pass\n5. Beat the clock and pass the phone to the next player\n\nWHY CHARADY\n• Classic forehead charades made for groups\n• Dozens of themed decks — movies, animals, food, brands, and more\n• Create custom decks for inside jokes and family nights\n• Offline play — no Wi-Fi required for local games\n• Quick rounds built for parties, road trips, and icebreakers\n• Clean, family-friendly word packs\n\nPerfect for game night, house parties, travel, and any room that needs more laughs. One phone. Whole group. Pure charades chaos.\n\nSupport: teamo.touch@gmail.com\n\nPrivacy Policy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTerms of Use:\nhttps://teamo-couple.web.app/charady-terms.html",Word,"Charady Weekly - ₹ 399 | Charady Yearly - ₹ 1,999 | Charady Lifetime - ₹ 2,499"
ko,Korean,kr,,Charady: 몸짓 맞히기,친구와 함께 맞춰봐,"charades,heads up,몸짓,파티,단어,친구,가족,오프라인,이마","몸짓으로 표현하세요. 단어를 맞히세요. 함께 웃으세요.\n\nCharady는 친구와 가족을 위한 궁극의 이마 차레이드 파티 게임입니다. 한 명이 휴대폰을 이마에 대고, 나머지는 힌트를 주며, 기울여 정답 또는 패스합니다. 간단한 규칙. 다양한 덱. 바로 파티 분위기.\n\n플레이 방법\n1. 분위기에 맞는 덱을 고르세요\n2. 휴대폰을 이마에 대어 친구가 단어를 보게 하세요\n3. 친구는 몸짓이나 설명으로 — 단어는 말하지 마세요\n4. 맞으면 아래로, 패스는 위로 기울이세요\n5. 시간을 이기고 다음 사람에게 넘기세요\n\n왜 CHARADY인가\n• 그룹을 위한 클래식 이마 차레이드\n• 영화, 동물, 음식 등 다양한 테마 덱\n• 커스텀 덱 만들기\n• 오프라인 플레이\n• 파티와 여행을 위한 빠른 라운드\n• 가족 친화 단어 팩\n\n게임 나이트와 더 많은 웃음에 완벽합니다. 휴대폰 하나. 전체 그룹. 순수한 차레이드 카오스.\n\n지원: teamo.touch@gmail.com\n\n개인정보 처리방침:\nhttps://teamo-couple.web.app/charady-privacy.html\n\n이용 약관:\nhttps://teamo-couple.web.app/charady-terms.html",단어,"Charady Weekly - ￦6,600 | Charady Yearly - ￦29,000 | Charady Lifetime - ￦39,000"
ms,Malay,my,,Charady: Teka kata parti,Teka kata dengan kawan,"charades,heads up,teka kata,parti,kawan,keluarga,offline","Lakonkannya. Teka perkataan. Ketawa bersama.\n\nCharady ialah permainan charades dahi terbaik untuk rakan dan keluarga. Seorang pemain letak telefon di dahi, yang lain beri petunjuk, anda condong untuk betul atau langkau. Peraturan mudah. Banyak dek. Tenaga parti serta-merta.\n\nCARA BERMAIN\n1. Pilih dek yang sesuai suasana\n2. Letak telefon di dahi supaya rakan nampak perkataan\n3. Rakan lakon atau terangkan — tanpa sebut perkataan\n4. Condong ke bawah jika betul, ke atas untuk langkau\n5. Kalahkan masa dan serahkan telefon\n\nMENGAPA CHARADY\n• Charades klasik untuk kumpulan\n• Puluhan dek bertema\n• Cipta dek tersuai\n• Main luar talian\n• Pusingan pantas untuk parti dan perjalanan\n• Pek perkataan mesra keluarga\n\nSempurna untuk malam permainan dan lebih ketawa. Satu telefon. Seluruh kumpulan. Kekacauan charades tulen.\n\nSupport: teamo.touch@gmail.com\n\nDasar Privasi:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nSyarat Penggunaan:\nhttps://teamo-couple.web.app/charady-terms.html",Kata,Charady Weekly - RM14.90 | Charady Yearly - RM69.90 | Charady Lifetime - RM89.90
ml-IN,Malayalam,in,,Charady: Forehead Guess,"Tilt, guess, laugh louder","charades,heads up,headbands,guess,word,party,friends,family,act it out,forehead,offline,group,fun","Act it out. Guess the word. Laugh together.\n\nCharady is the ultimate forehead charades party game for friends and family. One player holds the phone up, everyone else gives clues, and you tilt to keep the round flying. Simple rules. Endless decks. Instant party energy.\n\nHOW TO PLAY\n1. Pick a deck that matches your vibe\n2. Hold the phone to your forehead so friends can see the word\n3. Friends act, describe, or mime — no saying the word\n4. Tilt down for correct, tilt up to pass\n5. Beat the clock and pass the phone to the next player\n\nWHY CHARADY\n• Classic forehead charades made for groups\n• Dozens of themed decks — movies, animals, food, brands, and more\n• Create custom decks for inside jokes and family nights\n• Offline play — no Wi-Fi required for local games\n• Quick rounds built for parties, road trips, and icebreakers\n• Clean, family-friendly word packs\n\nPerfect for game night, house parties, travel, and any room that needs more laughs. One phone. Whole group. Pure charades chaos.\n\nSupport: teamo.touch@gmail.com\n\nPrivacy Policy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTerms of Use:\nhttps://teamo-couple.web.app/charady-terms.html",Word,"Charady Weekly - ₹ 399 | Charady Yearly - ₹ 1,999 | Charady Lifetime - ₹ 2,499"
mr-IN,Marathi,in,,Charady: Friends Charades,Party charades for groups,"charades,heads up,headbands,guess,word,party,friends,family,act it out,forehead,offline,group,fun","Act it out. Guess the word. Laugh together.\n\nCharady is the ultimate forehead charades party game for friends and family. One player holds the phone up, everyone else gives clues, and you tilt to keep the round flying. Simple rules. Endless decks. Instant party energy.\n\nHOW TO PLAY\n1. Pick a deck that matches your vibe\n2. Hold the phone to your forehead so friends can see the word\n3. Friends act, describe, or mime — no saying the word\n4. Tilt down for correct, tilt up to pass\n5. Beat the clock and pass the phone to the next player\n\nWHY CHARADY\n• Classic forehead charades made for groups\n• Dozens of themed decks — movies, animals, food, brands, and more\n• Create custom decks for inside jokes and family nights\n• Offline play — no Wi-Fi required for local games\n• Quick rounds built for parties, road trips, and icebreakers\n• Clean, family-friendly word packs\n\nPerfect for game night, house parties, travel, and any room that needs more laughs. One phone. Whole group. Pure charades chaos.\n\nSupport: teamo.touch@gmail.com\n\nPrivacy Policy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTerms of Use:\nhttps://teamo-couple.web.app/charady-terms.html",Word,"Charady Weekly - ₹ 399 | Charady Yearly - ₹ 1,999 | Charady Lifetime - ₹ 2,499"
no,Norwegian,no,,Charady: Fest gjettespill,Gjett ordet med venner,"charades,heads up,gjett,fest,ord,venner,familie,panne,offline,party","Spill det ut. Gjett ordet. Ler sammen.\n\nCharady er det ultimate panne-charades-festspillet for venner og familie. Én spiller holder telefonen på pannen, de andre gir hint, og du vipper for riktig eller videre. Enkle regler. Masse decks. Feststemning med en gang.\n\nSLIK SPILLER DERE\n1. Velg en kortstokk som passer stemningen\n2. Hold telefonen på pannen så vennene ser ordet\n3. Vennene spiller eller beskriver — uten å si ordet\n4. Vip ned ved riktig, opp for å hoppe over\n5. Slå klokka og gi telefonen videre\n\nHVORFOR CHARADY\n• Klassiske charades for grupper\n• Masse temadekker\n• Lag egne decks\n• Spill offline\n• Raske runder til fest og reiser\n• Familievennlige ordpakker\n\nPerfekt for spillkveld og mer latter. Én telefon. Hele gruppa. Ren charades-kaos.\n\nSupport: teamo.touch@gmail.com\n\nPersonvern:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nBruksvilkår:\nhttps://teamo-couple.web.app/charady-terms.html",Word,"Charady Weekly - 59,00 kr | Charady Yearly - 249,00 kr | Charady Lifetime - 299,00 kr"
or-IN,Odia,in,,Charady: Group Guess Night,Pass the phone and guess,"charades,heads up,headbands,guess,word,party,friends,family,act it out,forehead,offline,group,fun","Act it out. Guess the word. Laugh together.\n\nCharady is the ultimate forehead charades party game for friends and family. One player holds the phone up, everyone else gives clues, and you tilt to keep the round flying. Simple rules. Endless decks. Instant party energy.\n\nHOW TO PLAY\n1. Pick a deck that matches your vibe\n2. Hold the phone to your forehead so friends can see the word\n3. Friends act, describe, or mime — no saying the word\n4. Tilt down for correct, tilt up to pass\n5. Beat the clock and pass the phone to the next player\n\nWHY CHARADY\n• Classic forehead charades made for groups\n• Dozens of themed decks — movies, animals, food, brands, and more\n• Create custom decks for inside jokes and family nights\n• Offline play — no Wi-Fi required for local games\n• Quick rounds built for parties, road trips, and icebreakers\n• Clean, family-friendly word packs\n\nPerfect for game night, house parties, travel, and any room that needs more laughs. One phone. Whole group. Pure charades chaos.\n\nSupport: teamo.touch@gmail.com\n\nPrivacy Policy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTerms of Use:\nhttps://teamo-couple.web.app/charady-terms.html",Word,"Charady Weekly - ₹ 399 | Charady Yearly - ₹ 1,999 | Charady Lifetime - ₹ 2,499"
pl,Polish,pl,,Charady: Imprezowe zgadywanki,Zgaduj ze znajomymi,"charades,heads up,zgadywanki,impreza,słowa,znajomi,rodzina,czoło,offline","Odegraj. Zgadnij słowo. Śmiejcie się razem.\n\nCharady to ostateczna imprezowa gra charades na czole dla znajomych i rodziny. Jeden gracz trzyma telefon na czole, reszta daje wskazówki, a Ty przechylasz na dobrze lub dalej. Proste zasady. Mnóstwo talii. Energia imprezy od razu.\n\nJAK GRAĆ\n1. Wybierz talię pasującą do klimatu\n2. Przyłóż telefon do czoła, żeby znajomi widzieli słowo\n3. Znajomi odgrywają lub opisują — bez mówienia słowa\n4. Przechyl w dół przy trafieniu, w górę by pominąć\n5. Pokonaj czas i podaj telefon dalej\n\nDLACZEGO CHARADY\n• Klasyczne charades dla grup\n• Dziesiątki talii tematycznych\n• Twórz własne talie\n• Graj offline\n• Szybkie rundy na imprezę i podróż\n• Rodzinne pakiety słów\n\nIdealne na wieczór gier i więcej śmiechu. Jeden telefon. Cała ekipa. Czysty chaos charades.\n\nSupport: teamo.touch@gmail.com\n\nPolityka prywatności:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nWarunki korzystania:\nhttps://teamo-couple.web.app/charady-terms.html",Słowne,"Charady Weekly - 19,99 zł | Charady Yearly - 99,99 zł | Charady Lifetime - 129,99 zł"
pt-BR,Portuguese (Brazil),br,,Charady: Noite de mímica,Mímica com os amigos,"charades,heads up,mímica,festa,palavras,amigos,família,adivinhe,testa,offline","Encene. Adivinhe a palavra. Riam juntos.\n\nCharady é o jogo definitivo de mímica na testa para amigos e família. Um jogador segura o celular na testa, os outros dão dicas e você inclina para acertar ou passar. Regras simples. Vários baralhos. Energia de festa na hora.\n\nCOMO JOGAR\n1. Escolha um baralho que combine com o clima\n2. Segure o celular na testa para os amigos verem a palavra\n3. Os amigos encenam ou descrevem — sem falar a palavra\n4. Incline para baixo se acertar, para cima para passar\n5. Vença o tempo e passe o celular\n\nPOR QUE CHARADY\n• Mímica clássica para grupos\n• Dezenas de baralhos temáticos — filmes, animais, comida e mais\n• Crie baralhos personalizados\n• Jogue offline\n• Rodadas rápidas para festas e viagens\n• Pacotes familiares\n\nPerfeito para noites de jogos e mais risadas. Um celular. Todo o grupo. Caos de charades.\n\nSuporte: teamo.touch@gmail.com\n\nPolítica de Privacidade:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTermos de Uso:\nhttps://teamo-couple.web.app/charady-terms.html",Palavras,"Charady Weekly - R$ 29,90 | Charady Yearly - R$ 119,90 | Charady Lifetime - R$ 149,90"
pt-PT,Portuguese (Portugal),pt,,Charady: Festa de charadas,Charadas com amigos,"charades,heads up,charadas,festa,palavras,amigos,família,adivinha,offline","Encena. Adivinha a palavra. Riam juntos.\n\nCharady é o jogo definitivo de charadas na testa para amigos e família. Um jogador segura o telemóvel na testa, os outros dão pistas e tu inclinas para acertar ou passar. Regras simples. Muitos baralhos. Energia de festa na hora.\n\nCOMO JOGAR\n1. Escolhe um baralho à medida do ambiente\n2. Segura o telemóvel na testa para os amigos verem a palavra\n3. Os amigos encenam ou descrevem — sem dizer a palavra\n4. Inclina para baixo se acertares, para cima para passar\n5. Ganha ao tempo e passa o telemóvel\n\nPORQUÊ CHARADY\n• Charadas clássicas para grupos\n• Dezenas de baralhos temáticos\n• Cria baralhos personalizados\n• Joga offline\n• Rondas rápidas para festas e viagens\n• Pacotes familiares\n\nPerfeito para noites de jogos e mais gargalhadas. Um telemóvel. Todo o grupo. Caos de charades.\n\nSuporte: teamo.touch@gmail.com\n\nPolítica de Privacidade:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTermos de Utilização:\nhttps://teamo-couple.web.app/charady-terms.html",Palavras,"Charady Weekly - 5,99 € | Charady Yearly - 24,99 € | Charady Lifetime - 29,99 €"
pa-IN,Punjabi,in,,Charady: Tilt & Guess,Family party word game,"charades,heads up,headbands,guess,word,party,friends,family,act it out,forehead,offline,group,fun","Act it out. Guess the word. Laugh together.\n\nCharady is the ultimate forehead charades party game for friends and family. One player holds the phone up, everyone else gives clues, and you tilt to keep the round flying. Simple rules. Endless decks. Instant party energy.\n\nHOW TO PLAY\n1. Pick a deck that matches your vibe\n2. Hold the phone to your forehead so friends can see the word\n3. Friends act, describe, or mime — no saying the word\n4. Tilt down for correct, tilt up to pass\n5. Beat the clock and pass the phone to the next player\n\nWHY CHARADY\n• Classic forehead charades made for groups\n• Dozens of themed decks — movies, animals, food, brands, and more\n• Create custom decks for inside jokes and family nights\n• Offline play — no Wi-Fi required for local games\n• Quick rounds built for parties, road trips, and icebreakers\n• Clean, family-friendly word packs\n\nPerfect for game night, house parties, travel, and any room that needs more laughs. One phone. Whole group. Pure charades chaos.\n\nSupport: teamo.touch@gmail.com\n\nPrivacy Policy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTerms of Use:\nhttps://teamo-couple.web.app/charady-terms.html",Word,"Charady Weekly - ₹ 399 | Charady Yearly - ₹ 1,999 | Charady Lifetime - ₹ 2,499"
ro,Romanian,ro,,Charady: Petrecere mime,Ghicește cu prietenii,"charades,heads up,mime,petrecere,cuvinte,prieteni,familie,offline","Joacă-l. Ghicește cuvântul. Râdeți împreună.\n\nCharady este jocul suprem de charades pe frunte pentru prieteni și familie. Un jucător ține telefonul pe frunte, ceilalți dau indicii, iar tu înclini pentru corect sau treci. Reguli simple. Multe pachete. Energie de petrecere imediat.\n\nCUM SE JOACĂ\n1. Alege un pachet potrivit atmosferei\n2. Ține telefonul pe frunte ca prietenii să vadă cuvântul\n3. Prietenii mimează sau descriu — fără a spune cuvântul\n4. Înclină în jos dacă e corect, în sus pentru a trece\n5. Învinge cronometrul și dă telefonul mai departe\n\nDE CE CHARADY\n• Charades clasic pentru grupuri\n• Zeci de pachete tematice\n• Creează pachete personalizate\n• Joacă offline\n• Runde rapide pentru petreceri și călătorii\n• Pachete de cuvinte pentru familie\n\nPerfect pentru seara de jocuri și mai multe râsete. Un telefon. Tot grupul. Haos pur de charades.\n\nSupport: teamo.touch@gmail.com\n\nPolitica de confidențialitate:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTermeni de utilizare:\nhttps://teamo-couple.web.app/charady-terms.html",Cuvinte,"Charady Weekly - 24,99 lei | Charady Yearly - 119,99 lei | Charady Lifetime - 149,99 lei"
ru,Russian,ru,,Charady: Угадай слово,Угадывай с друзьями,"charades,heads up,крокодил,вечеринка,слова,друзья,семья,лоб,угадай,offline","Покажи. Угадай слово. Смейтесь вместе.\n\nCharady — идеальная лобная игра в charades для друзей и семьи. Один игрок держит телефон на лбу, остальные дают подсказки, а ты наклоняешь для верно или дальше. Простые правила. Куча колод. Энергия вечеринки сразу.\n\nКАК ИГРАТЬ\n1. Выберите колоду под настроение\n2. Держите телефон на лбу, чтобы друзья видели слово\n3. Друзья показывают или описывают — не говоря слово\n4. Наклоните вниз если верно, вверх чтобы пропустить\n5. Опередите таймер и передайте телефон\n\nПОЧЕМУ CHARADY\n• Классические charades для компаний\n• Десятки тематических колод\n• Создавайте свои колоды\n• Играйте офлайн\n• Быстрые раунды для вечеринок и поездок\n• Семейные наборы слов\n\nИдеально для игровой ночи и большего смеха. Один телефон. Вся компания. Чистый хаос charades.\n\nПоддержка: teamo.touch@gmail.com\n\nПолитика конфиденциальности:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nУсловия использования:\nhttps://teamo-couple.web.app/charady-terms.html",Словесные,"Charady Weekly - 399,00 ₽ | Charady Yearly - 1 990,00 ₽ | Charady Lifetime - 2 490,00 ₽"
sk,Slovak,sk,,Charady: Párty hádanie,Hádaj s priateľmi,"charades,heads up,hádanie,párty,slová,priatelia,rodina,offline","Zahraj to. Hádaj slovo. Smiejte sa spolu.\n\nCharady je ultimátna čelová charades párty hra pre priateľov a rodinu. Jeden hráč drží telefón na čele, ostatní dávajú tipy a ty naklápaš pre správne alebo ďalej. Jednoduché pravidlá. Veľa balíčkov. Párty energia hneď.\n\nAKO HRAŤ\n1. Vyber balíček podľa nálady\n2. Drž telefón na čele, aby priatelia videli slovo\n3. Priatelia hrajú alebo opisujú — bez vyslovenia slova\n4. Nakloň dole pri správne, hore pre preskočenie\n5. Poraz hodiny a podaj telefón\n\nPREČO CHARADY\n• Klasické charades pre skupiny\n• Desiatky tematických balíčkov\n• Vytvor vlastné balíčky\n• Hraj offline\n• Rýchle kolá na párty a cesty\n• Rodinné balíčky slov\n\nPerfektné na herný večer a viac smiechu. Jeden telefón. Celá partia. Čistý charades chaos.\n\nSupport: teamo.touch@gmail.com\n\nOchrana súkromia:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nPodmienky používania:\nhttps://teamo-couple.web.app/charady-terms.html",Slovné,"Charady Weekly - 5,99 € | Charady Yearly - 24,99 € | Charady Lifetime - 29,99 €"
sl-SI,Slovenian,si,,Charady: Zabava ugibanja,Ugibaj s prijatelji,"charades,heads up,ugibanje,zabava,besede,prijatelji,družina,offline","Zaigraj. Ugani besedo. Smejte se skupaj.\n\nCharady je ultimativna čelna charades zabavna igra za prijatelje in družino. En igralec drži telefon na čelu, drugi dajejo namige, ti pa nagneš za pravilno ali naprej. Preprosta pravila. Veliko paketov. Zabavna energija takoj.\n\nKAKO IGRATI\n1. Izberi paket, ki ustreza vzdušju\n2. Drži telefon na čelu, da prijatelji vidijo besedo\n3. Prijatelji igrajo ali opisujejo — brez izgovora besede\n4. Nagni dol za pravilno, gor za preskok\n5. Premagaj uro in poda telefon\n\nZAKAJ CHARADY\n• Klasične charades za skupine\n• Desetine tematskih paketov\n• Ustvari lastne pakete\n• Igraj offline\n• Hitri krogi za zabave in potovanja\n• Družinski paketi besed\n\nPopolno za igralni večer in več smeha. En telefon. Celotna ekipa. Čisti charades kaos.\n\nSupport: teamo.touch@gmail.com\n\nPravilnik o zasebnosti:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nPogoji uporabe:\nhttps://teamo-couple.web.app/charady-terms.html",Besede,"Charady Weekly - 5,99 € | Charady Yearly - 24,99 € | Charady Lifetime - 29,99 €"
es-MX,Spanish (Mexico),mx,,Charady: Adivina la palabra,Pon el teléfono y adivina,"charades,heads up,mímica,fiesta,palabras,amigos,familia,adivina,frente,juego,offline","Actúa. Adivina la palabra. Rían juntos.\n\nCharady es el juego definitivo de mímica en la frente para amigos y familia. Un jugador pone el teléfono en la frente, los demás dan pistas y tú inclinas para acertar o pasar. Reglas simples. Muchos mazos. Energía de fiesta al instante.\n\nCÓMO JUGAR\n1. Elige un mazo según el mood\n2. Pon el teléfono en la frente para que vean la palabra\n3. Los amigos actúan o describen — sin decir la palabra\n4. Inclina abajo si aciertas, arriba para pasar\n5. Gana al reloj y pasa el teléfono\n\nPOR QUÉ CHARADY\n• Mímica clásica para grupos\n• Decenas de mazos — películas, animales, comida y más\n• Crea mazos personalizados\n• Juega sin Wi-Fi\n• Rondas rápidas para fiestas y viajes\n• Packs familiares\n\nPerfecto para noches de juegos y más risas. Un teléfono. Todo el grupo. Caos de charades.\n\nSoporte: teamo.touch@gmail.com\n\nPolítica de privacidad:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTérminos de uso:\nhttps://teamo-couple.web.app/charady-terms.html",Palabras,Charady Weekly - $99.00 | Charady Yearly - $399.00 | Charady Lifetime - $499.00
es-ES,Spanish (Spain),es,,Charady: Fiesta de mímica,Mímica con amigos,"charades,heads up,mímica,fiesta,palabras,amigos,familia,adivina,frente,juego,offline","Actuad. Adivinad la palabra. Reíd juntos.\n\nCharady es el juego definitivo de mímica en la frente para amigos y familia. Un jugador sostiene el teléfono en la frente, los demás dan pistas y tú inclinas para acertar o pasar. Reglas simples. Montones de mazos. Energía de fiesta al instante.\n\nCÓMO JUGAR\n1. Elige un mazo según el ambiente\n2. Pon el teléfono en la frente para que vean la palabra\n3. Los amigos actúan o describen — sin decir la palabra\n4. Inclina abajo si aciertas, arriba para pasar\n5. Gana al reloj y pasa el teléfono\n\nPOR QUÉ CHARADY\n• Mímica clásica para grupos\n• Decenas de mazos temáticos — películas, animales, comida y más\n• Crea mazos personalizados\n• Juega sin conexión\n• Rondas rápidas para fiestas, viajes y rompehielos\n• Packs de palabras familiares\n\nPerfecto para noches de juegos y más risas. Un teléfono. Todo el grupo. Caos de charades.\n\nSoporte: teamo.touch@gmail.com\n\nPolítica de privacidad:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTérminos de uso:\nhttps://teamo-couple.web.app/charady-terms.html",Palabras,"Charady Weekly - 5,99 € | Charady Yearly - 24,99 € | Charady Lifetime - 29,99 €"
sv,Swedish,se,,Charady: Fest gissningsspel,Gissa ordet med vänner,"charades,heads up,gissa,fest,ord,vänner,familj,panna,offline,party","Agera ut. Gissa ordet. Skratta tillsammans.\n\nCharady är det ultimata pann-charades-festspelet för vänner och familj. En spelare håller telefonen mot pannan, de andra ger ledtrådar och du lutar för rätt eller vidare. Enkla regler. Massor av kortlekar. Feststämning direkt.\n\nSÅ SPELAR NI\n1. Välj en lek som passar stämningen\n2. Håll telefonen mot pannan så vännerna ser ordet\n3. Vännerna agerar eller beskriver — utan att säga ordet\n4. Luta ner vid rätt, upp för att hoppa över\n5. Slå klockan och skicka telefonen vidare\n\nVARFÖR CHARADY\n• Klassiska charades för grupper\n• Massor av temalekar\n• Skapa egna lekar\n• Spela offline\n• Snabba rundor för fest och resor\n• Familjevänliga ordpaket\n\nPerfekt för spelkväll och mer skratt. En telefon. Hela gruppen. Ren charades-kaos.\n\nSupport: teamo.touch@gmail.com\n\nIntegritetspolicy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nAnvändarvillkor:\nhttps://teamo-couple.web.app/charady-terms.html",Ordspel,"Charady Weekly - 59,00 kr | Charady Yearly - 249,00 kr | Charady Lifetime - 299,00 kr"
